YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2018,15,1,19,1,0,0,0,0,0,30000
2018,15,0,26,1,0,0,0,0,0,48000
2018,15,0,23,1,0,0,0,1,0,25000
2018,15,1,22,0,0,0,1,1,0,8000
2018,15,1,65,0,1,0,0,0,0,9600
2018,15,0,43,0,0,0,0,1,0,9000
2018,15,0,45,0,0,1,0,0,0,16600
2018,15,1,38,0,0,0,0,1,0,13700
2018,15,1,18,0,0,0,0,1,0,2500
2018,15,1,90,0,1,0,0,0,0,8600
2018,15,1,96,0,1,0,0,0,0,8600
2018,15,1,62,0,0,0,0,0,0,4700
2018,15,0,33,0,0,0,0,1,0,30000
2018,15,1,96,0,1,0,0,0,0,15300
2018,15,0,63,1,0,0,0,1,0,8800
2018,15,1,62,0,0,0,1,0,0,14600
2018,15,0,23,0,0,0,0,1,0,6000
2018,15,1,96,0,0,0,0,1,0,10100
2018,15,0,80,0,1,0,0,0,0,18100
2018,15,0,21,1,0,0,0,0,0,26000
2018,15,1,20,0,0,0,0,1,0,24900
2018,15,1,82,0,0,1,0,0,1,40300
2018,15,1,20,0,0,0,0,1,0,4800
2018,15,0,25,0,0,0,1,0,0,0
2018,15,0,35,1,0,1,0,1,1,8000
2018,15,0,42,0,0,0,0,1,0,510
2018,15,0,53,0,1,0,0,1,0,0
2018,15,0,22,0,0,1,0,0,0,50000
2018,15,0,50,0,0,0,1,0,0,0
2018,15,0,52,0,0,0,1,0,0,0
2018,15,0,24,0,0,0,0,1,0,50000
2018,15,1,22,0,0,0,0,1,0,2500
2018,15,1,80,0,0,0,0,1,1,0
2018,15,1,19,0,1,0,0,1,0,2500
2018,15,1,18,0,0,0,1,0,0,2400
2018,15,0,25,0,0,1,0,0,0,0
2018,15,1,72,0,1,0,0,0,0,10000
2018,15,1,90,0,1,0,0,0,0,0
2018,15,0,19,0,0,0,0,1,0,20000
2018,15,0,22,0,0,0,0,1,0,26000
2018,15,1,64,0,1,0,0,0,0,22900
2018,15,0,18,1,0,0,0,1,0,26000
2018,15,0,23,0,0,0,0,1,0,30000
2018,15,0,22,0,0,0,0,1,0,31200
2018,15,1,21,0,1,0,0,1,0,0
2018,15,1,23,1,1,0,0,0,0,24000
2018,15,0,19,0,0,0,0,1,0,20000
2018,15,0,52,0,1,0,1,1,0,0
2018,15,0,92,0,1,0,0,0,0,8600
2018,15,0,31,1,0,0,1,0,0,8000
2018,15,1,38,0,0,0,1,0,0,10500
2018,15,1,67,0,1,0,0,0,1,16400
2018,15,0,19,1,0,0,1,0,0,0
2018,15,0,19,0,0,0,0,1,0,30000
2018,15,0,72,0,1,0,0,0,1,18300
2018,15,1,62,0,0,0,1,0,0,0
2018,15,0,31,0,0,0,1,0,0,0
2018,15,1,19,0,1,0,0,0,0,2500
2018,15,1,22,0,1,0,0,0,0,7200
2018,15,1,28,0,1,0,0,0,0,0
2018,15,1,19,0,0,0,0,1,0,3000
2018,15,0,33,0,1,0,1,0,0,0
2018,15,1,19,1,0,0,0,0,0,3000
2018,15,0,28,0,0,0,1,0,0,10300
2018,15,1,82,0,0,0,0,1,0,7300
2018,15,0,40,0,0,0,1,0,0,5600
2018,15,0,87,0,1,0,0,0,0,0
2018,15,1,87,0,1,0,0,0,0,0
2018,15,0,61,0,1,0,0,0,0,0
2018,15,0,20,0,1,0,0,0,0,0
2018,15,1,18,1,0,0,0,0,0,4000
2018,15,0,54,0,0,0,1,0,0,0
2018,15,0,73,0,0,0,0,1,0,10600
2018,15,1,91,0,1,0,0,0,1,15300
2018,15,0,21,1,0,0,0,0,0,50000
2018,15,0,21,0,0,0,0,1,0,24000
2018,15,0,21,0,0,1,0,0,0,26000
2018,15,0,87,0,1,0,0,0,0,0
2018,15,1,80,0,0,0,0,1,1,0
2018,15,1,19,0,1,0,1,0,0,2000
2018,15,0,22,0,0,0,0,1,0,31200
2018,15,1,16,0,0,0,1,1,0,0
2018,15,0,30,0,0,0,0,1,0,20000
2018,15,1,21,0,0,0,0,1,0,10400
2018,15,0,21,0,1,0,1,0,0,0
2018,15,0,45,0,0,1,0,0,0,9000
2018,15,0,55,0,0,0,0,1,0,0
2018,15,1,84,0,1,0,0,0,0,13000
2018,15,0,29,0,0,0,0,1,0,48000
2018,15,0,42,0,0,0,0,1,0,510
2018,15,0,29,1,1,0,1,0,0,27000
2018,15,0,21,0,0,0,0,1,0,26000
2018,15,0,35,0,0,0,1,0,0,8000
2018,15,1,21,0,0,0,0,1,0,6000
2018,15,1,53,0,0,0,1,0,0,4700
2018,15,0,66,0,0,0,1,1,0,13000
2018,15,0,18,0,1,0,1,0,0,25000
2018,15,0,96,0,1,0,0,0,0,18300
2018,15,0,22,1,0,0,0,0,0,26000
2018,15,0,25,0,1,0,0,0,1,0
2018,15,0,26,0,0,0,0,1,0,30000
2018,15,1,18,0,1,0,0,0,0,0
2018,15,0,19,1,0,0,0,1,0,7000
2018,15,1,18,0,0,0,1,0,0,2500
2018,15,1,21,0,1,0,0,0,0,4050
2018,15,0,66,0,0,0,1,1,0,13000
2018,15,0,19,0,0,0,0,1,0,20000
2018,15,0,65,0,0,0,0,1,0,0
2018,15,1,41,0,0,0,1,0,0,7500
2018,15,1,90,0,1,0,0,0,0,14100
2018,15,0,61,0,1,0,1,0,0,0
2018,15,0,31,0,0,0,1,0,0,0
2018,15,1,96,0,1,0,0,0,0,8600
2018,15,0,20,0,0,1,0,0,0,50000
2018,15,0,21,1,0,0,0,0,0,28600
2018,15,0,21,0,0,0,1,1,0,6000
2018,15,1,24,0,0,0,0,1,0,25300
2018,15,1,41,0,0,0,1,0,0,7500
2018,15,0,46,0,0,0,0,1,0,0
2018,15,1,96,0,0,0,0,1,0,15300
2018,15,0,26,0,0,0,0,1,0,30000
2018,15,0,23,1,0,0,0,0,0,26600
2018,15,0,20,0,0,0,0,1,0,40000
2018,15,1,25,0,0,0,0,1,0,43700
2018,15,0,62,0,1,0,0,0,0,28800
2018,15,0,64,1,0,0,1,0,0,8500
2018,15,0,66,0,1,0,0,0,0,0
2018,15,1,80,0,0,0,0,1,1,12600
2018,15,0,20,0,0,0,1,1,0,3200
2018,15,0,49,0,0,1,0,0,0,9000
2018,15,1,18,0,0,0,0,1,0,3000
